_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
11,A0915069,GRADY,CAT,TABBY-ORG,WHITE,DOMESTIC MH,NEUTERED,2014-07-28,11,2025-08-21,MED EMERG,STRAY,OTC,,2025-08-22,EUTH,,MED EMERG,OAKLAND RD/CLUB DR,SAN JOSE,2025-08-25
12,A0928377,BLANCO,DOG,CREAM,,CHIHUAHUA LH,NEUTERED,2014-07-03,11,2025-07-12,MED R,STRAY,OTC,,2025-07-18,RTO,,MED R,FWY 101 // TULLY EXIT,SAN JOSE,2025-07-18
13,A0931985,PEBBLES,DOG,BROWN,GOLD,YORKSHIRE TERR,SPAYED,,,2025-09-12,MED R,STRAY,OTC,,2025-09-14,RTO,,MED R,GALAHAD AVE/VAN WINKLE LN,SAN JOSE,2025-09-15
14,A0934826,GRACIE,DOG,BLACK,,POODLE MIN,FEMALE,2014-08-13,11,2025-08-24,MED R,STRAY,OTC,,2025-08-28,RTO,,HEALTHY,LOS ESTEROS RD/GRAND BLVD,SAN JOSE,2025-08-28
15,A0972658,SASHIMI,DOG,WHITE,,MALTESE,NEUTERED,2014-05-21,11,2025-07-06,MED R,STRAY,FIELD,,2025-07-08,RTO,,MED R,ENDFIELD X HIGHWOOD,SAN JOSE,2025-07-08
16,A0989559,GUCCI,DOG,TRICOLOR,,YORKSHIRE TERR,NEUTERED,2015-08-05,10,2025-10-24,HEALTHY,STRAY,OTC,,2025-10-25,RTO,,HEALTHY,COLEMAN RD/WINFIELD BLVD,SAN JOSE,2025-10-25
17,A1000357,ZOEY,DOG,BLACK,TAN,GERM SHEPHERD,FEMALE,2015-12-02,10,2025-10-31,MED SEV,STRAY,OTC,,2025-11-04,EUTH,,MED SEV,SB 87 X W TAYLOR ST,SAN JOSE,2025-11-12
18,A1009557,GAMORA,DOG,TRICOLOR,,BELG MALINOIS,FEMALE,2016-04-04,9,2025-10-29,MED M,STRAY,FIELD,,2025-10-29,RTO,,MED M,NORWOOD X RUBY,SAN JOSE,2025-10-29
19,A1019880,FLUFFY,DOG,WHITE,,POODLE TOY,MALE,2014-10-08,11,2025-10-09,HEALTHY,STRAY,OTC,,2025-10-22,RESCUE,,HEALTHY,LUNDY/HOSTETTER RD,SAN JOSE,2025-10-22
20,A1041028,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,2017-10-06,8,2025-09-27,MED SEV,STRAY,FIELD,,2025-09-27,EUTH,,MED SEV,RENO DR/ANTONACCI CT,SAN JOSE,2025-10-03
21,A1065630,OZZY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2015-12-01,10,2025-07-16,HEALTHY,STRAY,OTC,,2025-07-23,RESCUE,,HEALTHY,SENTER RD/SINGLETON RD,SAN JOSE,2025-07-23
22,A1069251,CHANO,CAT,PT-LILAC,,DOMESTIC SH,NEUTERED,2017-04-19,8,2025-07-03,MED R,STRAY,OTC,IP ADOPT,2025-07-13,RTO,,MED R,STORY/KING,SAN JOSE,2025-07-13
23,A1072730,MONSTER,DOG,CREAM,,GERM SHEPHERD,FEMALE,2012-09-21,13,2025-10-19,HEALTHY,STRAY,FIELD,,2025-10-27,RTO,,HEALTHY,1200 BLOCK OF LUCRETIA AVE,SAN JOSE,2025-10-27
24,A1074000,MILLER,DOG,BROWN,WHITE,PIT BULL,NEUTERED,2017-09-28,8,2025-09-30,MED SEV,STRAY,OTC,,2026-01-21,RESCUE,,MED SEV,CANOAS GARDEN AVE/ CURTNER,SAN JOSE,2026-01-21
25,A1074510,LILY,DOG,BLACK,TAN,YORKSHIRE TERR,SPAYED,2017-08-06,8,2025-07-26,HEALTHY,STRAY,OTC,IP ADOPT,2025-07-27,RTO,,HEALTHY,YERBA BUENA/ SILVER CREEK,SAN JOSE,2025-07-27
26,A1076560,MANCHA,DOG,BROWN,,POINTER,SPAYED,2017-08-22,8,2025-08-21,HEALTHY,STRAY,OTC,,2025-08-22,RTO,,HEALTHY,1600 BLOCK HOPKINS,SAN JOSE,2025-08-22
27,A1121286,YOGI,DOG,GRAY,TAN,DACHSHUND,NEUTERED,2017-12-15,8,2025-09-30,MED R,STRAY,OTC,,2025-10-06,ADOPTION,,MED R,KEYES X 7TH,SAN JOSE,2025-10-06
28,A1122618,BANE,DOG,CHOCOLATE,,LABRADOR RETR,MALE,2019-02-18,6,2025-10-25,MED R,STRAY,OTC,,2025-10-25,RTO,,MED M,JIM DR / LITTLE ROCK DR,SAN JOSE,2025-10-25
29,A1124358,EVEREST,DOG,GRAY,WHITE,SIBERIAN HUSKY,SPAYED,2018-05-11,7,2025-08-23,HEALTHY,STRAY,OTC,,2025-08-24,RTO,,HEALTHY,LEAN AVE/BIEBER DR,SAN JOSE,2025-08-24
30,A1128528,PEWEE,DOG,BLACK,WHITE,CHIHUAHUA SH,MALE,2013-05-11,12,2025-10-02,HEALTHY,STRAY,OTC,,2025-10-03,RTO,,,SHILSHONE CIR X SHILSHONE WAY,SAN JOSE,2025-10-03
31,A1138607,CHIKA,DOG,BLUE,FAWN,FRENCH BULLDOG,SPAYED,2019-01-01,6,2025-10-05,HEALTHY,CONFISCATE,POLICE,,2025-10-10,NEUTER,,HEALTHY,,SAN JOSE,2025-10-10
32,A1148544,DEXTER,DOG,GRAY,TAN,YORKSHIRE TERR,MALE,2012-01-01,13,2025-09-05,MED R,STRAY,OTC,IP ADOPT,2025-09-09,RTO,,HEALTHY,TAMIE LN X BUCKNALL RD,SAN JOSE,2025-09-09
33,A1148820,DUC,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2013-09-12,12,2025-07-24,HEALTHY,CONFISCATE,HOSPITAL,,2025-07-26,RTO,,HEALTHY,,SAN JOSE,2025-07-26
34,A1164760,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,,2025-10-21,MED SEV,STRAY,FIELD,,2025-10-27,EUTH,,MED SEV,HOLLYWOOD AVE,SAN JOSE,2025-10-27
35,A1166381,CHIQUITO,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2016-03-03,9,2025-07-20,MED R,STRAY,OTC,,2025-07-21,RTO,,,22ND ST/WILLIAM ST,SAN JOSE,2025-07-21
36,A1167653,LUNA,DOG,WHITE,TAN,LABRADOR RETR,SPAYED,2019-04-26,6,2025-08-19,MED R,STRAY,OTC,,2025-08-20,RTO,,MED R,MCKEE RD X X N CAPITOL AVE,SAN JOSE,2025-08-20
37,A1173824,MAX,DOG,WHITE,GRAY,SHIH TZU,NEUTERED,2019-06-04,6,2025-07-01,MED R,OWNER SUR,FIELD,,2025-07-07,RESCUE,,MED R,,MILPITAS,2025-08-13
38,A1174859,PIPER,DOG,BRINDLE-BN,WHITE,PIT BULL,SPAYED,2018-06-19,7,2025-10-19,HEALTHY,STRAY,FIELD,,2025-11-19,ADOPTION,,HEALTHY,3100 BLOCK OF CADILLAC,SAN JOSE,2025-11-19
39,A1188641,LOKI,DOG,GRAY,WHITE,SIBERIAN HUSKY,NEUTERED,2019-10-04,6,2025-08-20,MED R,STRAY,OTC,,2025-08-20,RTO,,MED R,PEARL AVE X CAPITOL EXPY,SAN JOSE,2025-08-20
40,A1191302,,CAT,PT-CHOC,,DOMESTIC SH,SPAYED,2019-08-11,6,2025-08-10,MED SEV,STRAY,OTC,IP ADOPT,2025-08-11,EUTH,,MED SEV,FORD RD/MONTEREY RD,SAN JOSE,2025-08-11
41,A1192174,HENRY,DOG,BROWN,BLACK,GERM SH POINT,NEUTERED,2019-04-12,6,2025-09-03,HEALTHY,OWNER SUR,OTC,,2025-09-03,RTO,,HEALTHY,,SAN JOSE,2025-09-03
42,A1221021,COCO,DOG,GRAY,WHITE,PIT BULL,NEUTERED,2017-07-03,8,2025-08-03,HEALTHY,STRAY,FIELD,,,,,,E MISSION ST X N 7TH ST,SAN JOSE,2026-03-16
43,A1225148,DRAKKO,DOG,GOLD,WHITE,GREAT PYRENEES,MALE,2018-01-30,7,2025-09-19,HEALTHY,STRAY,FIELD,,2025-09-20,RTO,,HEALTHY,S CAPITOL AVE / FLORENCE AVE,SAN JOSE,2025-09-20
44,A1230247,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2020-11-18,5,2025-07-28,MED R,STRAY,OTC,,2025-07-31,RTF,,MED R,MCDONALD AVE/MCKEE RD,SAN JOSE,2025-07-31
45,A1232993,BOBO,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2021-08-24,4,2025-09-21,HEALTHY,STRAY,FIELD,,2025-09-27,ADOPTION,,HEALTHY,SUPREME X WONDERAMA,SAN JOSE,2025-09-27
46,A1233204,DAKOTA,DOG,BRINDLE-BN,WHITE,PIT BULL,SPAYED,2019-10-27,6,2025-07-22,HEALTHY,OWNER SUR,OTC,,2025-07-29,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-29
47,A1235698,LUNA,DOG,WHITE,,SIBERIAN HUSKY,SPAYED,2018-10-30,7,2025-09-25,MED R,STRAY,MEDVET,,2025-10-02,ADOPTION,,MED M,STORY RD / KING RD,SAN JOSE,2025-10-22
48,A1239201,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2020-09-02,5,2025-08-31,HEALTHY,STRAY,FIELD,,2025-09-07,RTF,,FERAL,BLK 300 CARNEGIE DR,MILPITAS,2025-09-07
49,A1239565,FREYJA,DOG,BROWN,BLACK,GERM SHEPHERD,SPAYED,2021-04-26,4,2025-10-11,HEALTHY,STRAY,FIELD,,2025-12-30,ADOPTION,,HEALTHY,THORNHAVEN WAY / NEW ST,SAN JOSE,2026-02-18
50,A1240280,SADIE,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,2021-08-21,4,2025-08-27,HEALTHY,OWNER SUR,OTC,,2025-09-02,ADOPTION,,HEALTHY,,SAN JOSE,2025-09-02
51,A1240381,SUGAR,DOG,WHITE,,CAIRN TERRIER,SPAYED,2016-01-17,9,2025-08-08,HEALTHY,CONFISCATE,OWNER DIED,,2025-08-23,RESCUE,,HEALTHY,,SAN JOSE,2025-08-23
52,A1240666,PLUTO,DOG,BLACK,WHITE,SIBERIAN HUSKY,MALE,,,2025-08-20,HEALTHY,STRAY,FIELD,,2025-08-21,RTO,,HEALTHY,VAN WINKLE LN / GALAHAD AVE,SAN JOSE,2025-08-21
53,A1241455,COOKIE,DOG,TAN,WHITE,SHIH TZU,FEMALE,2017-08-08,8,2025-08-08,HEALTHY,STRAY,OTC,,2025-08-09,RTO,,HEALTHY,BANNER DR/BANNER CT,SAN JOSE,2025-08-09
54,A1242452,,CAT,BLACK,,DOMESTIC MH,NEUTERED,,,2025-10-17,MED SEV,STRAY,OTC,,2025-10-26,RTF,,FERAL,DANUBE WAY X BONITA AVE,SAN JOSE,2025-10-26
55,A1245046,,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,,2025-07-17,MED SEV,STRAY,OTC,,2025-07-18,EUTH,,MED SEV,BARNARD X STONE AVE,SAN JOSE,2025-07-18
56,A1245224,LUNA,DOG,BROWN,WHITE,GERM SHEPHERD,FEMALE,2020-08-03,5,2025-07-26,MED R,STRAY,OTC,,2025-07-30,RTO,,MED R,BROADWAY AVE/BROADWAY CT,SAN JOSE,2025-07-30
57,A1266263,TEDDY,DOG,BROWN,BRINDLE-BN,CHIHUAHUA SH,NEUTERED,2020-09-10,5,2025-09-10,HEALTHY,CONFISCATE,HOSPITAL,,,,,BEH M,,SAN JOSE,2026-01-16
58,A1282774,COOKIE,DOG,BRINDLE-BN,WHITE,DUTCH SHEPHERD,SPAYED,2020-12-18,5,2025-09-07,HEALTHY,RETURN,OTC,,2025-10-30,ADOPTION,,HEALTHY,,SAN JOSE,2025-10-30
59,A1283267,MAX,DOG,WHITE,,ALASKAN HUSKY,MALE,2019-12-23,6,2025-10-23,HEALTHY,STRAY,OTC,,2025-10-25,RTO,,HEALTHY,BRODERICK DR/ COYOTE RD,SAN JOSE,2025-10-25
60,A1283585,SARAH,DOG,WHITE,,PARSON RUSS TER,SPAYED,2019-10-19,6,2025-09-19,HEALTHY,CONFISCATE,POLICE,,2025-09-23,RTO,,HEALTHY,,MILPITAS,2025-09-23
61,A1284460,LOBO,DOG,BLACK,WHITE,SIBERIAN HUSKY,NEUTERED,2021-07-02,4,2025-10-01,HEALTHY,OWNER SUR,FIELD,,2025-10-02,RTO,,HEALTHY,,MILPITAS,2025-10-02
62,A1288060,KAIDA,DOG,BLACK,,GERM SHEPHERD,SPAYED,2023-08-27,2,2025-08-26,HEALTHY,OWNER SUR,,,2025-09-07,ADOPTION,,HEALTHY,,SAN JOSE,2025-09-07
63,A1288342,TINY MITE,DOG,TAN,WHITE,PIT BULL,SPAYED,2022-04-06,3,2025-09-12,HEALTHY,CONFISCATE,ASO,,2025-09-23,RTO,,HEALTHY,,SAN JOSE,2025-09-23
64,A1288345,MARLEY,DOG,BLACK,WHITE,AUST CATTLE DOG,NEUTERED,2021-02-05,4,2025-10-03,MED R,STRAY,OTC,,2026-03-13,ADOPTION,,HEALTHY,LICK AVE X GOODYEAR ST,SAN JOSE,2026-03-13
65,A1288345,MARLEY,DOG,BLACK,WHITE,AUST CATTLE DOG,NEUTERED,2021-02-05,4,2025-08-04,HEALTHY,STRAY,OTC,,2025-08-08,RTO,,HEALTHY,LICK AVE/WILLOW ST,SAN JOSE,2025-08-12
66,A1288345,MARLEY,DOG,BLACK,WHITE,AUST CATTLE DOG,NEUTERED,2021-02-05,4,2025-08-15,HEALTHY,STRAY,OTC,,2025-08-20,RTO,,HEALTHY,WILLOW AVE/LICK AVE,SAN JOSE,2025-08-20
67,A1289781,ROSIE,DOG,MERLE-BLUE,,WHIPPET,SPAYED,2022-09-19,3,2025-08-19,HEALTHY,CONFISCATE,HOSPITAL,,2025-09-03,ADOPTION,,HEALTHY,,SAN JOSE,2025-09-03
68,A1289782,CINDERELLA,DOG,WHITE,TAN,AUST CATTLE DOG,SPAYED,2021-01-19,4,2025-08-19,HEALTHY,CONFISCATE,HOSPITAL,,2025-09-18,ADOPTION,,HEALTHY,,SAN JOSE,2025-09-18
69,A1289828,SAMANTHA,DOG,TAN,,CHIHUAHUA SH,FEMALE,2022-02-24,3,2025-08-20,BEH U,OWNER SUR,FIELD,,2025-09-02,RESCUE,,BEH U,,MILPITAS,2025-09-02
70,A1289830,GILLIGAN,DOG,BLACK,WHITE,AMERICAN PIT BU,NEUTERED,2022-09-19,3,2025-08-19,HEALTHY,CONFISCATE,HOSPITAL,,2025-09-18,ADOPTION,,HEALTHY,,SAN JOSE,2025-09-18
71,A1289843,LOLA,DOG,TAN,,AM PIT BULL TER,SPAYED,2022-07-21,3,2025-07-20,HEALTHY,STRAY,FIELD,,2025-07-21,RTO,,HEALTHY,VIA DEL ORO/SAN IGNACIO AVE,SAN JOSE,2025-07-21
72,A1290628,MAX,DOG,BROWN,BLACK,GERM SHEPHERD,NEUTERED,2020-02-26,5,2025-09-25,MED R,STRAY,FIELD,,2025-12-27,RESCUE,,MED R,W HEDDING AND ASBURY,SAN JOSE,2025-12-27
73,A1294513,JOE,DOG,BLACK,TAN,CHIHUAHUA SH,NEUTERED,,,2025-07-11,MED M,STRAY,FIELD,,2025-07-11,RTO,,MED M,E CALAVERAS X CARNEGIE,MILPITAS,2025-07-11
74,A1300616,MAX,DOG,CREAM,,CHIHUAHUA SH,NEUTERED,2022-05-19,3,2025-07-16,MED R,CONFISCATE,OWNER DIED,,2025-08-04,TRANSFER,,MED R,,,2025-08-04
75,A1304887,ONYXANDRA,DOG,BLACK,WHITE,CHIHUAHUA SH,SPAYED,2023-02-16,2,2025-09-09,MED R,STRAY,FIELD,,2025-09-23,ADOPTION,,HEALTHY,ROBERTS X OSWEGO,SAN JOSE,2025-09-23
76,A1305481,DAKOTA,DOG,BLACK,WHITE,SIBERIAN HUSKY,SPAYED,,,2025-10-27,HEALTHY,STRAY,OTC,,2025-10-27,RTO,,HEALTHY,SENTER X NEEDLES,SAN JOSE,2025-10-27
77,A1308306,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2019-07-18,6,2025-08-27,MED SEV,STRAY,OTC,,2025-09-05,RTF,,FERAL,HERLONG AVE & CALPINE DR,SAN JOSE,2025-09-05
78,A1311435,FERAL,CAT,BUFF,WHITE,DOMESTIC SH,NEUTERED,,,2025-09-24,MED R,STRAY,OTC,,2025-09-24,RTF,,MED R,ROEDER RD X BATTLE DANCE DR,SAN JOSE,2025-09-24
79,A1311551,ZEUS,DOG,MERLE-BLUE,,AUST SHEPHERD,NEUTERED,2022-09-06,3,2025-09-22,HEALTHY,STRAY,OTC,,2025-09-30,ADOPTION,,HEALTHY,GARDEN X SOUTHSIDE,SAN JOSE,2025-09-30
80,A1313591,PAIN,DOG,RED,WHITE,SIBERIAN HUSKY,NEUTERED,2019-03-11,6,2025-07-06,HEALTHY,STRAY,OTC,,2025-07-07,RTO,,HEALTHY,TUERS RD X E CAPITOL EXPY,SAN JOSE,2025-07-07
81,A1314401,ZYAH,DOG,BLACK,WHITE,SIBERIAN HUSKY,FEMALE,2022-03-03,3,2025-10-08,HEALTHY,STRAY,OTC,,2025-10-08,RTO,,HEALTHY,UNION AVE X 85 HWY,SAN JOSE,2025-10-08
82,A1314686,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2020-09-06,5,2025-07-23,MED R,STRAY,FIELD,,2025-08-05,RTF,,FERAL,MENKER X SAN CARLOS,SAN JOSE,2025-08-06
83,A1322553,CHARLIE BROWN,DOG,BLACK,TAN,GERM SHEPHERD,NEUTERED,2019-04-03,6,2025-10-19,HEALTHY,STRAY,FIELD,,2025-10-27,RTO,,HEALTHY,1200 BLOCK OF LUCRETIA AVE,SAN JOSE,2025-10-27
84,A1323782,GISSEL,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,2023-03-14,2,2025-08-09,HEALTHY,STRAY,OTC,,2025-08-21,ADOPTION,,HEALTHY,N JACKSON AVE/MABURY RD,SAN JOSE,2025-08-21
85,A1323916,CHUCKY,DOG,WHITE,,ENG BULLDOG,MALE,2022-12-09,3,2025-07-29,MED R,STRAY,OTC,,2025-09-06,RESCUE,,MED R,MONTEREY RD/FORSUM RD,SAN JOSE,2025-09-06
86,A1326565,SPIKEY,DOG,TAN,BLACK,PUG,NEUTERED,2023-04-16,2,2025-09-13,HEALTHY,STRAY,OTC,,2025-09-16,RTO,,,STORY RD & MCLAUGHLIN AVE,SAN JOSE,2025-09-18
87,A1326680,RAINE,DOG,BLACK,WHITE,LABRADOR RETR,FEMALE,2022-02-05,3,2025-10-17,MED R,STRAY,OTC,,2025-10-18,RTO,,MED R,YELLOWSTONE AVE X TAHCE DR,MILPITAS,2025-10-18
88,A1329253,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2022-02-18,3,2025-09-26,MED R,STRAY,FIELD,,2025-10-03,RTF,,MED R,TOYON AVE / NEW ST,SAN JOSE,2025-10-03
89,A1330278,KILO,DOG,BLACK,WHITE,SIBERIAN HUSKY,NEUTERED,2021-12-18,4,2025-10-31,HEALTHY,STRAY,OTC,,2025-11-01,RTO,,HEALTHY,BERRYESSA RD/ N CAPITOL AVE,SAN JOSE,2025-11-01
90,A1330278,KILO,DOG,BLACK,WHITE,SIBERIAN HUSKY,NEUTERED,2021-12-18,4,2025-07-01,HEALTHY,STRAY,OTC,,2025-07-06,RTO,,HEALTHY,MONTEREY RD X TULLY RD,SAN JOSE,2025-07-06
91,A1331313,CUPID,CAT,TABBY-ORG,,DOMESTIC SH,MALE,2016-03-07,9,2025-08-11,HEALTHY,CONFISCATE,HOSPITAL,,2025-08-24,TRANSFER,,HEALTHY,,SAN JOSE,2025-08-24
92,A1331366,WAFFLES,DOG,BLACK,,POODLE STND,MALE,2023-08-14,2,2025-09-06,HEALTHY,STRAY,OTC,,2025-09-10,RESCUE,,HEALTHY,QUIMBY RD/RUBY RD,SAN JOSE,2025-09-10
93,A1331367,MOCHI,DOG,BLACK,,POODLE STND,SPAYED,2023-08-14,2,2025-09-03,HEALTHY,STRAY,OTC,,2025-09-10,RESCUE,,HEALTHY,FARRINGDON DR / FARRINGDON CT,SAN JOSE,2025-09-10
94,A1331602,BERNIE,DOG,WHITE,BLACK,AUST SHEPHERD,NEUTERED,2023-11-10,2,2025-09-13,HEALTHY,CONFISCATE,POLICE,,2025-09-17,RTO,,HEALTHY,,SAN JOSE,2025-09-17
95,A1335093,BEAR,DOG,TAN,WHITE,PIT BULL,NEUTERED,2022-04-06,3,2025-09-12,HEALTHY,CONFISCATE,ASO,,2025-09-23,RTO,,HEALTHY,,SAN JOSE,2025-09-23
96,A1338907,COCO,DOG,BLACK,WHITE,SIBERIAN HUSKY,SPAYED,2020-09-03,5,2025-09-03,HEALTHY,STRAY,,,2025-09-04,RTO,,HEALTHY,S WHITE RD/STORY RD,SAN JOSE,2025-09-04
97,A1341020,SNOWBALL,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2024-04-03,1,2025-10-03,MED R,STRAY,FIELD,,2025-10-23,ADOPTION,,HEALTHY,ANGIE AVE/DIANA AVE,SAN JOSE,2025-10-23
98,A1341379,COOKIE,DOG,BLACK,WHITE,PIT BULL,NEUTERED,2023-05-23,2,2025-10-11,HEALTHY,STRAY,FIELD,,2025-10-24,EUTH,,BEH U,THORNHAVEN WAY / NEW ST,SAN JOSE,2025-10-24
99,A1345066,MILLIE,DOG,TRICOLOR,,CHIHUAHUA SH,SPAYED,2023-09-15,2,2025-09-12,HEALTHY,STRAY,FIELD,,2025-11-09,ADOPTION,,HEALTHY,JEANNE AVE. / FORESTDALE AVE.,SAN JOSE,2025-11-09
100,A1346423,SNOW,DOG,WHITE,,CHIHUAHUA SH,FEMALE,2023-07-20,2,2025-07-20,HEALTHY,OWNER SUR,OTC,,2025-07-31,TRANSFER,,HEALTHY,,SAN JOSE,2025-07-31
101,A1346921,PEONI,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-05-18,1,2025-07-18,HEALTHY,STRAY,OTC,,2025-08-01,ADOPTION,,HEALTHY,DON MARCO CT/DON JUAN CIR,SAN JOSE,2025-08-01
102,A1346921,PEONI,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-05-18,1,2025-08-01,HEALTHY,RETURN,OTC,,2025-08-16,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-16
103,A1346980,CATALINA SUNSHINE,CAT,TAN,,SIAMESE,SPAYED,2020-12-27,5,2025-08-21,MED SEV,STRAY,FIELD,,2025-08-21,EUTH,,MED SEV,,,2025-08-21
104,A1348271,PUPPY,DOG,BLACK,,LABRADOR RETR,NEUTERED,2022-07-15,3,2025-11-02,HEALTHY,STRAY,OTC,,2025-11-15,RTO,,HEALTHY,MONTEREY/UMBARGER,SAN JOSE,2025-11-15
105,A1348304,NOODLES,DOG,WHITE,,BICHON FRISE,NEUTERED,2020-07-30,5,2025-07-24,MED R,STRAY,OTC,,2025-08-07,ADOPTION,,MED R,ASHLAND DR X ROSSWELL DR,MILPITAS,2025-08-07
106,A1348735,HERCULES,DOG,BROWN,,PIT BULL,NEUTERED,2024-03-28,1,2025-08-12,BEH M,STRAY,FIELD,,2025-08-13,RTO,,HEALTHY,MASONIC DR / CANOAS GARDEN,SAN JOSE,2025-08-13
107,A1349503,ALIYAH,DOG,BLACK,WHITE,ALASKAN HUSKY,FEMALE,2024-09-18,1,2025-09-18,HEALTHY,STRAY,FIELD,,2025-09-19,RTO,,HEALTHY,THE WOODS DR / THE WOODS DR,SAN JOSE,2025-09-19
108,A1349664,TORRI,DOG,TRICOLOR,WHITE,SCHNAUZER MIN,SPAYED,2024-05-24,1,2025-10-19,HEALTHY,STRAY,FIELD,,2025-10-24,RESCUE,,HEALTHY,ALMADEN RD / CURTNER AVE,SAN JOSE,2025-10-25
109,A1352778,DIESEL,DOG,BLACK,WHITE,STAFFORDSHIRE,NEUTERED,2023-02-27,2,2025-10-04,HEALTHY,STRAY,FIELD,,2025-11-13,ADOPTION,,BEH R,500 BLOCK OF BIRD AVE,SAN JOSE,2025-11-13
110,A1354144,DEXTER,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2021-07-22,4,2025-07-21,MED R,STRAY,OTC,,2025-07-27,ADOPTION,,MED R,RUMSEY CT/FONTANELLE DR,SAN JOSE,2025-07-27
111,A1354492,LOKI,DOG,BROWN,WHITE,SIBERIAN HUSKY,NEUTERED,2020-09-08,5,2025-10-18,HEALTHY,RETURN,OTC,,,,,,,SAN JOSE,2025-10-20
112,A1354492,LOKI,DOG,BROWN,WHITE,SIBERIAN HUSKY,NEUTERED,2020-09-08,5,2025-09-21,HEALTHY,STRAY,OTC,,2025-10-18,ADOPTION,,HEALTHY,CAPITOL EXPY/OCALA AVE,SAN JOSE,2025-10-18
